asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B075Y671JQ,"Classic Color Crayons, Peggable Retail Pack, 24 Colors",https://m.media-amazon.com/images/I/71-6xls--oL._AC_UL320_.jpg,https://www.amazon.com/dp/B075Y671JQ,4.7,828,0.0,0.0,219,False,4000
B004XROHFK,"""Angeles Baseline 48""""x30"""" Rect. Table, Homeschool/Playroom Toddler Furniture, Kids Activity Table for Daycare/Classroom Learning, 18"""" Legs, Green"" (AB745RPG18)",https://m.media-amazon.com/images/I/61t0o3zp-NL._AC_UL320_.jpg,https://www.amazon.com/dp/B004XROHFK,3.4,5,376.73,0.0,124,False,0
B0C4XDY8WM,VR Cable VR Link Cable 16FT Gaming Connector Extension DP USB VR Headset Accessory Cable 5m,https://m.media-amazon.com/images/I/51MJEnD48-L._AC_UY218_.jpg,https://www.amazon.com/dp/B0C4XDY8WM,0.0,0,229.5,0.0,259,False,0
B09R84964Q,Catrice | The Eyeshadow Palettes (The Dusty Matte),https://m.media-amazon.com/images/I/71-9C2xbDwL._AC_UL320_.jpg,https://www.amazon.com/dp/B09R84964Q,3.4,0,6.0,0.0,48,False,100
B076H9V4PZ,Women's Bowknot Self Tie Wrap Around Obi Waist Band Cinch Boho Waist Belt,https://m.media-amazon.com/images/I/61ZEsPBcoYL._AC_UL320_.jpg,https://www.amazon.com/dp/B076H9V4PZ,3.8,0,14.35,0.0,120,False,0
B0B82WVV8Z,Newborn Baby Girl Boy Halloween Clothes Pumpkin Romper Oversized Sweatshirt Short Sleeve Onesie Casual Outfit,https://m.media-amazon.com/images/I/61zHMEvhfFL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B82WVV8Z,0.0,0,5.99,0.0,264,False,0
B0824SDWBX,Butt Enhancement Cream - Butt Enhancer - Hip Lift Up Cream - Bigger Buttock Firm Massage Cream for Women (Type A),https://m.media-amazon.com/images/I/61mLjudYBML._AC_UL320_.jpg,https://www.amazon.com/dp/B0824SDWBX,3.8,0,18.99,0.0,49,False,400
B000CMJ6HO,"Gila NRS44 Basic Limo Black 20-Percent VLT Scratch Resistant Automotive Window Tint, 20% Limo Black, 24"" x 6.5'",https://m.media-amazon.com/images/I/71gA5ls7lCL._AC_UL320_.jpg,https://www.amazon.com/dp/B000CMJ6HO,3.9,1169,13.99,0.0,24,False,200
B09RZJ1KF3,"Lab Jack Scissor Stand, Aluminum Oxide Lab Jack 8x8 Inch, Height Expandable, Load Capacity 15Kg",https://m.media-amazon.com/images/I/71i7JhQj+9L._AC_UL320_.jpg,https://www.amazon.com/dp/B09RZJ1KF3,5.0,0,48.99,56.99,144,False,0
B00LHBRSHE,"Boye 332621800FM Aluminum Crochet Hook, Size F, 3.75 mm, 6'', Pink",https://m.media-amazon.com/images/I/615StZsS5CL._AC_UL320_.jpg,https://www.amazon.com/dp/B00LHBRSHE,4.8,114,4.09,0.0,3,False,50
